,companyClass,companyName,companySpeak,place,url,workMoney,workName,workNeed
0,"
电子商务,教育/A轮
",italki,"“国际化团队,全球用户,在线教育,超长个人假”",[上海·曹家渡],https://www.lagou.com/jobs/3811478.html,10k-20k,Python,"
经验3-5年 / 本科
                                "
1,"
移动互联网,企业服务/上市公司
",Veeva,"“纽交所上市,云计算,SaaS,生命科学”",[北京·朝阳区],https://www.lagou.com/jobs/3469697.html,15k-25k,Python软件开发工程师,"
经验3-5年 / 本科
                                "
2,"
移动互联网/不需要融资
",武汉佰钧成技术有限公司,"“周末双休,六险一金,技术提升”",[杭州·余杭区],https://www.lagou.com/jobs/3374298.html,11k-20k,python开发工程师,"
经验1-3年 / 大专
                                "
3,"
移动互联网,金融/上市公司
",众禄金融,"“新三板挂牌,互联网金融,团队氛围”",[深圳·罗湖区],https://www.lagou.com/jobs/3098439.html,18k-25k,Python开发工程师,"
经验1-3年 / 本科
                                "
4,"
企业服务/上市公司
",长亮科技,"“弹性时间,美女如云,领导Nic”",[深圳·南山区],https://www.lagou.com/jobs/3809939.html,10k-15k,Python 开发工程师,"
经验1-3年 / 本科
                                "
5,"
移动互联网,O2O/B轮
",斗米兼职,"“优秀的团队,巨大前景,发展空间”",[北京·海淀区],https://www.lagou.com/jobs/3740174.html,15k-30k,高级php/python开发工程师,"
经验3-5年 / 本科
                                "
6,"
移动互联网,文化娱乐/不需要融资
",爱竞彩,"“非常焦急,钱景无量,加班不多,零食随便”",[广州·越秀区],https://www.lagou.com/jobs/3727531.html,8k-10k,Python开发,"
经验不限 / 不限
                                "
7,"
移动互联网,数据服务/不需要融资
",捷通华声,“人工智能 项目奖金 五险一金 半年调薪”,[北京·西二旗],https://www.lagou.com/jobs/2401740.html,15k-25k,Python开发工程师,"
经验1-3年 / 本科
                                "
8,"
移动互联网,社交网络/A轮
",BOO!,“前景广阔”,[西安·科技二路],https://www.lagou.com/jobs/3498270.html,15k-30k,python开发工程师,"
经验3-5年 / 不限
                                "
9,"
企业服务,数据服务/B轮
",数美,"“飞速发展,技术氛围浓,待遇好,发展快”",[北京·望京],https://www.lagou.com/jobs/3684787.html,15k-30k,python研发工程师,"
经验1年以下 / 硕士
                                "
10,"
移动互联网,数据服务/A轮
",云盾,"“加薪晋职多,福利待遇好,技术提升快,公司环境棒”",[上海·七宝],https://www.lagou.com/jobs/3703019.html,15k-30k,Python开发工程师,"
经验1-3年 / 本科
                                "
11,"
移动互联网/未融资
",康通,"“五险一金,亲属关爱金,免费中晚餐,福利齐全”",[长沙·张公岭],https://www.lagou.com/jobs/3692964.html,7K-14K,Python工程师,"
7K-14K
经验1-3年 / 本科
                                "
12,"
移动互联网/不需要融资
",iHandy,"“六险一金,福利待遇佳,硅谷式办公,免费水果”",[北京·五道口],https://www.lagou.com/jobs/3232579.html,15k-30k,Python开发工程师,"
经验1-3年 / 本科
                                "
13,"
移动互联网,硬件/B轮
",SENSORO,"“期权激励,补充保险,工程师文化,出国考察”",[北京·望京],https://www.lagou.com/jobs/3811107.html,15k-25k,Python研发工程师,"
经验1-3年 / 本科
                                "
14,"
数据服务,企业服务/A轮
",灵雀云,"“前沿科技,靠谱团队,工程师文化,H1B计划”",[北京·北京大学],https://www.lagou.com/jobs/2483626.html,13k-25k,Python,"
经验不限 / 本科
                                "
15,"
移动互联网,企业服务/上市公司
",Veeva,"“纽交所上市,云计算,股票,年度旅游”",[北京·燕莎],https://www.lagou.com/jobs/3642995.html,20k-30k,Python工程师,"
经验3-5年 / 本科
                                "
16,"
移动互联网,金融/上市公司
",众禄金融,"“五险一金,高速发展,新三板,发展机会”",[深圳·罗湖区],https://www.lagou.com/jobs/3684449.html,18k-25k,Python开发工程师,"
经验3-5年 / 大专
                                "
17,"
企业服务,数据服务/B轮
",数美,"“飞速发展,发展快,海量数据”",[北京·望京],https://www.lagou.com/jobs/3684796.html,15k-30k,python研发工程师,"
经验1-3年 / 本科
                                "
18,"
移动互联网,社交网络/A轮
",BOO!,“扁平管理、健身福利、设备补助、发展空间大”,[西安·沣惠南路],https://www.lagou.com/jobs/3785388.html,15K-25K,Python开发工程师,"
15K-25K
经验3-5年 / 大专
                                "
19,"
电子商务/D轮及以上
",YKS,"“大公司,跨境电商,奖金多”",[深圳·龙岗区],https://www.lagou.com/jobs/2794191.html,8k-16k,python开发工程师,"
经验1-3年 / 本科
                                "
20,"
数据服务/B轮
",好巧,"“带薪年假,五险一金,弹性工作”",[武汉·中南路],https://www.lagou.com/jobs/3451717.html,10k-20k,python工程师,"
经验3-5年 / 本科
                                "
21,"
移动互联网,数据服务/D轮及以上
",华云数据,“绩效奖金 年终奖金 交通补贴 餐饮补贴”,[上海·五角场],https://www.lagou.com/jobs/2438996.html,18k-28k,Python开发工程师,"
经验3-5年 / 本科
                                "
22,"
金融/A轮
",榆钱金融,“发展空间大、福利待遇好”,[武汉·武珞路],https://www.lagou.com/jobs/1996754.html,10k-20k,Python,"
经验1-3年 / 大专
                                "
23,"
数据服务,金融/天使轮
",源杉FIR.ai,"“人工智能,股票激励,大牛团队,发展空间大”",[上海·杨浦区],https://www.lagou.com/jobs/3661532.html,15k-30k,Python开发工程师,"
经验3-5年 / 本科
                                "
24,"
金融,企业服务/天使轮
",程创科技,"“高速成长,期权,创业,五险一金”",[北京·中关村],https://www.lagou.com/jobs/3722369.html,15k-20k,Python,"
经验1-3年 / 本科
                                "
25,"
医疗健康,数据服务/B轮
",推想科技,"“弹性工时,五险一金,团队牛逼,14薪”",[大连·中山区],https://www.lagou.com/jobs/3626993.html,10k-15k,python工程师,"
经验1-3年 / 大专
                                "
26,"
金融/C轮
",智融集团,"“文化开放,弹性不打卡,发展快速,上升空间”",[北京·学院路],https://www.lagou.com/jobs/2879999.html,20k-40k,Python开发工程师,"
经验3-5年 / 本科
                                "
27,"
移动互联网/D轮及以上
",ofo,"“生日礼金,绩效奖金,团建,免费健身”",[北京·海淀区],https://www.lagou.com/jobs/2683634.html,25k-35k,Python研发工程师,"
经验3-5年 / 本科
                                "
28,"
移动互联网/B轮
",Yi+,"“绩效奖金,弹性工作,技术大牛,晋升空间”",[北京·中关村],https://www.lagou.com/jobs/3307756.html,15k-30k,Python开发工程师,"
经验3-5年 / 本科
                                "
29,"
移动互联网/A轮
",果雪科技,"“技术牛,福利好,氛围好,老板牛”",[上海·莘庄],https://www.lagou.com/jobs/3376282.html,15k-30k,Python 工程师,"
经验3-5年 / 本科
                                "
30,"
移动互联网,金融/上市公司
",众禄金融,"“互联网金融,新三板,团队氛围”",[深圳·罗湖区],https://www.lagou.com/jobs/3726722.html,18k-25k,Python开发工程师,"
经验1-3年 / 本科
                                "
31,"
移动互联网,企业服务/上市公司
",Veeva,"“纽交所上市,云计算,SaaS,生命科学”",[北京·朝阳区],https://www.lagou.com/jobs/3554732.html,25k-35k,Python,"
经验3-5年 / 本科
                                "
32,"
企业服务,数据服务/B轮
",数美,"“飞速发展,技术氛围浓,大牛担任导”",[北京·望京],https://www.lagou.com/jobs/3684783.html,15k-30k,python研发工程师,"
经验1年以下 / 硕士
                                "
33,"
移动互联网,企业服务/A轮
",超对称,"“五险一金,每周运动,无限量零食,好老板”",[北京·朝阳区],https://www.lagou.com/jobs/3265326.html,10k-20k,Python开发工程师,"
经验1-3年 / 本科
                                "
34,"
移动互联网,O2O/C轮
",航仕科技,“BAT的薪资福利待遇，更有技术大牛传授技术”,[深圳·科技园],https://www.lagou.com/jobs/2022151.html,20k-35k,Python开发,"
经验3-5年 / 本科
                                "
35,"
移动互联网,游戏/上市公司
",点触,“六险一金，双休，班车接送，免费早餐”,[厦门·软件园],https://www.lagou.com/jobs/517332.html,10k-15k,Python程序员,"
经验不限 / 不限
                                "
36,"
移动互联网,游戏/D轮及以上
",赤子城,"“五险一金,福利好”",[济南·槐荫区],https://www.lagou.com/jobs/3801867.html,4k-8k,Python开发工程师,"
经验1-3年 / 本科
                                "
37,"
移动互联网,企业服务/A轮
",优维科技,"“牛人带队,DevOp,A轮,期权”",[广州·天河公园],https://www.lagou.com/jobs/2846934.html,8k-15k,Python开发工程师,"
经验1-3年 / 本科
                                "
38,"
移动互联网,数据服务/上市公司
",文思海辉,“优秀团队”,[无锡·新吴区],https://www.lagou.com/jobs/3288898.html,10k-15k,Python高级工程师,"
经验不限 / 本科
                                "
39,"
移动互联网,企业服务/未融资
",云顶云,"“福利完善,扁平管理,技能培训,绩效奖金”",[天津·南开区],https://www.lagou.com/jobs/3729686.html,5k-10k,Python开发工程师,"
经验1-3年 / 大专
                                "
40,"
移动互联网,金融/A轮
",Alading Bank,"“发展前景好,大牛云集,福利暖心,潜力无限”",[上海·打浦桥],https://www.lagou.com/jobs/3771059.html,12k-18k,Python开发工程师,"
经验1-3年 / 大专
                                "
41,"
移动互联网/A轮
",卓翰科技,“技术实力强 团队氛围佳”,[武汉·江夏区],https://www.lagou.com/jobs/2017171.html,15k-25k,Python研发工程师,"
经验1-3年 / 本科
                                "
42,"
移动互联网/不需要融资
",武汉佰钧成技术有限公司,"“牛人团队,薪资高,福利好”",[武汉·观澜],https://www.lagou.com/jobs/3313488.html,15k-30k,Python,"
经验3-5年 / 大专
                                "
43,"
O2O,医疗健康/B轮
",医渡云,"“十四薪,带薪年假,免费三餐,租房补助”",[北京·学院路],https://www.lagou.com/jobs/3680735.html,18k-35k,Python开发工程师,"
经验3-5年 / 大专
                                "
44,"
移动互联网,电子商务/不需要融资
",10com,"“弹性工作,扁平管理,家属福利,五险一金”",[厦门·开元],https://www.lagou.com/jobs/3511595.html,10k-20k,Python工程师,"
经验3-5年 / 本科
                                "
45,"
移动互联网,金融/上市公司
",众禄金融,"“新三板企业,福利好,团队扁平化,快速发展”",[深圳·罗湖区],https://www.lagou.com/jobs/3318321.html,18k-25k,python,"
经验1-3年 / 大专
                                "
46,"
移动互联网,企业服务/上市公司
",Veeva,"“纽交所上市,云计算,SaaS,生命科学”",[北京·朝阳区],https://www.lagou.com/jobs/3643268.html,15k-20k,Python工程师,"
经验1-3年 / 本科
                                "
47,"
移动互联网/上市公司
",易宝软件科技（南京）有限公司,"“技术先进,晋升空间大,团队氛围好,美女帅哥多”",[南京·安德门],https://www.lagou.com/jobs/3740855.html,6k-12k,python开发工程师,"
经验1-3年 / 本科
                                "
48,"
电子商务,教育/A轮
",italki,"“国际化团队,福利太多,企业文化,技术驱动”",[上海·曹家渡],https://www.lagou.com/jobs/3018083.html,13k-20k,Python工程师,"
经验3-5年 / 本科
                                "
