categoryName,categoryURL
后端开发,Java,https://www.lagou.com/zhaopin/Java/
后端开发,C++,https://www.lagou.com/zhaopin/C%2B%2B/
后端开发,PHP,https://www.lagou.com/zhaopin/PHP/
后端开发,数据挖掘,https://www.lagou.com/zhaopin/shujuwajue/
后端开发,搜索算法,https://www.lagou.com/zhaopin/sousuosuanfa/
后端开发,精准推荐,https://www.lagou.com/zhaopin/jingzhuntuijian/
后端开发,C,https://www.lagou.com/zhaopin/C/
后端开发,C#,https://www.lagou.com/zhaopin/C%23/
后端开发,全栈工程师,https://www.lagou.com/zhaopin/quanzhangongchengshi/
后端开发,.NET,https://www.lagou.com/zhaopin/.NET/
后端开发,Hadoop,https://www.lagou.com/zhaopin/Hadoop/
后端开发,Python,https://www.lagou.com/zhaopin/Python/
后端开发,Delphi,https://www.lagou.com/zhaopin/Delphi/
后端开发,VB,https://www.lagou.com/zhaopin/VB/
后端开发,Perl,https://www.lagou.com/zhaopin/Perl/
后端开发,Ruby,https://www.lagou.com/zhaopin/Ruby/
后端开发,Node.js,https://www.lagou.com/zhaopin/Node.js/
后端开发,Go,https://www.lagou.com/zhaopin/go/
后端开发,ASP,https://www.lagou.com/zhaopin/asp/
后端开发,Shell,https://www.lagou.com/zhaopin/shell/
后端开发,后端开发其它,https://www.lagou.com/zhaopin/houduankaifaqita/
移动开发,HTML5,https://www.lagou.com/zhaopin/HTML5/
移动开发,Android,https://www.lagou.com/zhaopin/Android/
移动开发,iOS,https://www.lagou.com/zhaopin/iOS/
移动开发,WP,https://www.lagou.com/zhaopin/WP/
移动开发,移动开发其它,https://www.lagou.com/zhaopin/yidongkaifaqita/
前端开发,web前端,https://www.lagou.com/zhaopin/webqianduan/
前端开发,Flash,https://www.lagou.com/zhaopin/Flash/
前端开发,html5,https://www.lagou.com/zhaopin/html51/
前端开发,JavaScript,https://www.lagou.com/zhaopin/JavaScript/
前端开发,U3D,https://www.lagou.com/zhaopin/U3D/
前端开发,COCOS2D-X,https://www.lagou.com/zhaopin/COCOS2D-X/
前端开发,前端开发其它,https://www.lagou.com/zhaopin/qianduankaifaqita/
人工智能,深度学习,https://www.lagou.com/zhaopin/shenduxuexi/
人工智能,机器学习,https://www.lagou.com/zhaopin/jiqixuexi/
人工智能,图像处理,https://www.lagou.com/zhaopin/tuxiangchuli/
人工智能,图像识别,https://www.lagou.com/zhaopin/tuxiangshibie/
人工智能,语音识别,https://www.lagou.com/zhaopin/yuyinshibie/
人工智能,机器视觉,https://www.lagou.com/zhaopin/jiqishijue/
人工智能,算法工程师,https://www.lagou.com/zhaopin/suanfagongchengshi/
人工智能,自然语言处理,https://www.lagou.com/zhaopin/ziranyuyanchuli/
测试,测试工程师,https://www.lagou.com/zhaopin/ceshigongchengshi/
测试,自动化测试,https://www.lagou.com/zhaopin/zidonghuaceshi/
测试,功能测试,https://www.lagou.com/zhaopin/gongnengceshi/
测试,性能测试,https://www.lagou.com/zhaopin/xingnengceshi/
测试,测试开发,https://www.lagou.com/zhaopin/ceshikaifa/
测试,游戏测试,https://www.lagou.com/zhaopin/youxiceshi/
测试,白盒测试,https://www.lagou.com/zhaopin/baiheceshi/
测试,灰盒测试,https://www.lagou.com/zhaopin/huiheceshi/
测试,黑盒测试,https://www.lagou.com/zhaopin/heiheceshi/
测试,手机测试,https://www.lagou.com/zhaopin/shoujiceshi/
测试,硬件测试,https://www.lagou.com/zhaopin/yingjianceshi/
测试,测试经理,https://www.lagou.com/zhaopin/ceshijingli2/
测试,测试其它,https://www.lagou.com/zhaopin/ceshiqita/
运维,运维工程师,https://www.lagou.com/zhaopin/yunweigongchengshi/
运维,运维开发工程师,https://www.lagou.com/zhaopin/yunweikaifagongchengshi/
运维,网络工程师,https://www.lagou.com/zhaopin/wangluogongchengshi/
运维,系统工程师,https://www.lagou.com/zhaopin/xitonggongchengshi/
运维,IT支持,https://www.lagou.com/zhaopin/ITzhichi/
运维,IDC,https://www.lagou.com/zhaopin/idc/
运维,CDN,https://www.lagou.com/zhaopin/cdn/
运维,F5,https://www.lagou.com/zhaopin/f5/
运维,系统管理员,https://www.lagou.com/zhaopin/xitongguanliyuan/
运维,病毒分析,https://www.lagou.com/zhaopin/bingdufenxi/
运维,WEB安全,https://www.lagou.com/zhaopin/webanquan/
运维,网络安全,https://www.lagou.com/zhaopin/wangluoanquan/
运维,系统安全,https://www.lagou.com/zhaopin/xitonganquan/
运维,运维经理,https://www.lagou.com/zhaopin/yunweijingli/
运维,运维其它,https://www.lagou.com/zhaopin/yunweiqita/
DBA,MySQL,https://www.lagou.com/zhaopin/MySQL/
DBA,SQLServer,https://www.lagou.com/zhaopin/SQLServer/
DBA,Oracle,https://www.lagou.com/zhaopin/Oracle/
DBA,DB2,https://www.lagou.com/zhaopin/DB2/
DBA,MongoDB,https://www.lagou.com/zhaopin/MongoDB/
DBA,ETL,https://www.lagou.com/zhaopin/etl/
DBA,Hive,https://www.lagou.com/zhaopin/hive/
DBA,数据仓库,https://www.lagou.com/zhaopin/shujucangku/
DBA,DBA其它,https://www.lagou.com/zhaopin/dbaqita/
高端职位,技术经理,https://www.lagou.com/zhaopin/jishujingli/
高端职位,技术总监,https://www.lagou.com/zhaopin/jishuzongjian/
高端职位,架构师,https://www.lagou.com/zhaopin/jiagoushi/
高端职位,CTO,https://www.lagou.com/zhaopin/CTO/
高端职位,运维总监,https://www.lagou.com/zhaopin/yunweizongjian/
高端职位,技术合伙人,https://www.lagou.com/zhaopin/jishuhehuoren/
高端职位,项目总监,https://www.lagou.com/zhaopin/xiangmuzongjian/
高端职位,测试总监,https://www.lagou.com/zhaopin/ceshizongjian/
高端职位,安全专家,https://www.lagou.com/zhaopin/anquanzhuanjia/
高端职位,高端技术职位其它,https://www.lagou.com/zhaopin/gaoduanjishuzhiweiqita/
项目管理,项目经理,https://www.lagou.com/zhaopin/xiangmujingli/
项目管理,项目助理,https://www.lagou.com/zhaopin/xiangmuzhuli/
硬件开发,硬件,https://www.lagou.com/zhaopin/yingjian/
硬件开发,嵌入式,https://www.lagou.com/zhaopin/qianrushi/
硬件开发,自动化,https://www.lagou.com/zhaopin/zidonghua/
硬件开发,单片机,https://www.lagou.com/zhaopin/danpianji/
硬件开发,电路设计,https://www.lagou.com/zhaopin/dianlusheji/
硬件开发,驱动开发,https://www.lagou.com/zhaopin/qudongkaifa/
硬件开发,系统集成,https://www.lagou.com/zhaopin/xitongjicheng/
硬件开发,FPGA开发,https://www.lagou.com/zhaopin/fpgakaifa/
硬件开发,DSP开发,https://www.lagou.com/zhaopin/dspkaifa/
硬件开发,ARM开发,https://www.lagou.com/zhaopin/armkaifa/
硬件开发,PCB工艺,https://www.lagou.com/zhaopin/pcbgongyi/
硬件开发,模具设计,https://www.lagou.com/zhaopin/mujusheji/
硬件开发,热传导,https://www.lagou.com/zhaopin/rechuandao/
硬件开发,材料工程师,https://www.lagou.com/zhaopin/cailiaogongchengshi/
硬件开发,精益工程师,https://www.lagou.com/zhaopin/jingyigongchengshi/
硬件开发,射频工程师,https://www.lagou.com/zhaopin/shepingongchengshi/
硬件开发,硬件开发其它,https://www.lagou.com/zhaopin/yingjiankaifaqita/
企业软件,实施工程师,https://www.lagou.com/zhaopin/shishigongchengshi/
企业软件,售前工程师,https://www.lagou.com/zhaopin/shouqiangongchengshi/
企业软件,售后工程师,https://www.lagou.com/zhaopin/shouhougongchengshi/
企业软件,BI工程师,https://www.lagou.com/zhaopin/bigongchengshi/
企业软件,企业软件其它,https://www.lagou.com/zhaopin/qiyeruanjianqita/
产品经理,产品经理,https://www.lagou.com/zhaopin/chanpinjingli1/
产品经理,网页产品经理,https://www.lagou.com/zhaopin/wangyechanpinjingli/
产品经理,移动产品经理,https://www.lagou.com/zhaopin/yidongchanpinjingli/
产品经理,产品助理,https://www.lagou.com/zhaopin/chanpinzhuli/
产品经理,数据产品经理,https://www.lagou.com/zhaopin/shujuchanpinjingli/
产品经理,电商产品经理,https://www.lagou.com/zhaopin/dianshangchanpinjingli/
产品经理,游戏策划,https://www.lagou.com/zhaopin/youxicehua/
产品经理,产品实习生,https://www.lagou.com/zhaopin/chanpinshixisheng/
产品设计师,网页产品设计师,https://www.lagou.com/zhaopin/wangyechanpinshejishi/
产品设计师,无线产品设计师,https://www.lagou.com/zhaopin/wuxianchanpinshejishi/
高端职位,产品部经理,https://www.lagou.com/zhaopin/chanpinbujingli/
高端职位,产品总监,https://www.lagou.com/zhaopin/chanpinzongjian/
高端职位,游戏制作人,https://www.lagou.com/zhaopin/youxizhizuoren/
视觉设计,视觉设计师,https://www.lagou.com/zhaopin/shijueshejishi/
视觉设计,网页设计师,https://www.lagou.com/zhaopin/wangyeshejishi/
视觉设计,Flash设计师,https://www.lagou.com/zhaopin/Flashshejishi/
视觉设计,APP设计师,https://www.lagou.com/zhaopin/APPshejishi/
视觉设计,UI设计师,https://www.lagou.com/zhaopin/UIshejishi/
视觉设计,平面设计师,https://www.lagou.com/zhaopin/pingmianshejishi/
视觉设计,美术设计师（2D/3D）,https://www.lagou.com/zhaopin/meishushejishi%EF%BC%882D3D%EF%BC%89/
视觉设计,广告设计师,https://www.lagou.com/zhaopin/guanggaoshejishi/
视觉设计,多媒体设计师,https://www.lagou.com/zhaopin/duomeitishejishi/
视觉设计,原画师,https://www.lagou.com/zhaopin/yuanhuashi/
视觉设计,游戏特效,https://www.lagou.com/zhaopin/youxitexiao/
视觉设计,游戏界面设计师,https://www.lagou.com/zhaopin/youxijiemianshejishi/
视觉设计,游戏场景,https://www.lagou.com/zhaopin/youxichangjing/
视觉设计,游戏角色,https://www.lagou.com/zhaopin/youxijiaose/
视觉设计,游戏动作,https://www.lagou.com/zhaopin/youxidongzuo/
交互设计,交互设计师,https://www.lagou.com/zhaopin/jiaohushejishi1/
交互设计,无线交互设计师,https://www.lagou.com/zhaopin/wuxianjiaohushejishi/
交互设计,网页交互设计师,https://www.lagou.com/zhaopin/wangyejiaohushejishi/
交互设计,硬件交互设计师,https://www.lagou.com/zhaopin/yingjianjiaohushejishi/
