companyName,companyIndustry,recruitmentType,jobName,jobCity,jobPeopNum,releaseTime,companySize,companyType,positionCategory,jobURL
上海量健企业管理咨询服务有限公司-上海量健企业管理咨询服务有限公司,"专业服务/咨询(财会/法律/人力资源等),医疗/护理/美容/保健/卫生服务",校园招聘,见习养生顾问-实习生-上海,上海,若干,2017-11-10,1000-9999人,民营,,//xiaoyuan.zhaopin.com/job/CC000117323J90000085000
东电化（中国）投资有限公司-无锡东电化兰达电子有限公司（上海）分公司,"电子技术/半导体/集成电路,其他",校园招聘,研发工程师,上海,10,2017-11-10,10000人以上,外商独资,软件研发工程师,//xiaoyuan.zhaopin.com/job/CC000129903J90000016000
国美零售控股有限公司-华东大区,"耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发",校园招聘,广告专员（2018校园招聘）,上海,1,2017-11-10,10000人以上,合资,平面设计,//xiaoyuan.zhaopin.com/job/CC000797532J90000219000
极优(上海)商贸有限公司 -极优(上海)商贸有限公司,"耐用消费品（服饰/纺织/皮革/家具/家电）,其他",校园招聘,未来国际化零售行业的经营者（店铺伙伴招聘）,上海,若干,2017-11-10,500-999人,外商独资,市场经理,//xiaoyuan.zhaopin.com/job/CC000126305J90000001000
威马汽车技术有限公司-威马汽车技术有限公司,汽车/摩托车,校园招聘,BMS软件开发工程师,上海,1,2017-11-10,500-999人,民营,软件研发工程师,//xiaoyuan.zhaopin.com/job/CC000882586J90000048000
东电化（中国）投资有限公司-东电化（上海）国际贸易有限公司,"电子技术/半导体/集成电路,其他",校园招聘,产品工程师,上海,10,2017-11-10,10000人以上,外商独资,软件工程师,//xiaoyuan.zhaopin.com/job/CC000129903J90000012000
国美零售控股有限公司-华东大区,"耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发",校园招聘,财务会计（2018校园招聘）,上海,3,2017-11-10,10000人以上,合资,会计/会计师,//xiaoyuan.zhaopin.com/job/CC000797532J90000130000
长江证券股份有限公司-上海分公司,基金/证券/期货/投资,校园招聘,分公司,上海,若干,2017-11-10,10000人以上,上市公司,其他,//xiaoyuan.zhaopin.com/job/CC000869979J90000051000
赢创工业集团-赢创工业集团,石油/石化/化工,校园招聘,Finance Trainee /财务培训生,上海,若干,2017-11-10,10000人以上,外商独资,培训生,//xiaoyuan.zhaopin.com/job/CC000865501J90000012000
国美零售控股有限公司-华东大区,"耐用消费品（服饰/纺织/皮革/家具/家电）,零售/批发",校园招聘,储备主任（2018校园招聘）,上海,2,2017-11-10,10000人以上,合资,促销主管/督导,//xiaoyuan.zhaopin.com/job/CC000797532J90000131000
